Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),app_message
0,,,,,0,-0.056640625,-0.95703125,,,12.33066219,0.072366841,0,0,0.892331076,,0,,,0.05859375,
0,,,,,0,-0.052734375,-0.962890625,,-0.077752947,12.33054559,0.070796508,0,0,0.87295957,,0,,0,0.05859375,
0.06523,,,,,0,-0.0546875,-0.95703125,,,12.33019641,0.067980232,0,0,0.838209607,,0,,,0.05859375,
0.033085,,,,,0,-0.052734375,-0.958984375,-9.06E-05,,12.33056698,0.069465497,0,0,0.856548966,0,0,0,0,0.05859375,
0.095875,,,,,0,-0.052734375,-0.9609375,,,12.33033653,0.067054505,0,0,0.82680461,,0,,,0.05859375,
0.12372,,,,,0,-0.0546875,-0.9609375,,,12.33007666,0.065974023,0,0,0.813464762,,0,,,0.05859375,
0.15529,,,,,0,-0.0546875,-0.9609375,-7.00E-05,-0.079814222,12.32970554,0.064304429,0,0,0.792854671,0,0,0,0,0.05859375,
0.18764,,,,,0,-0.0546875,-0.95703125,,,12.32988784,0.063326871,0,0,0.780813216,,0,,,0.05859375,
0.22024,,,,,0,-0.052734375,-0.95703125,,,12.32958813,0.061349079,0,0,0.756408873,,0,,,0.05859375,
0.25263,,,,,0,-0.052734375,-0.958984375,,,12.32952297,0.061532773,0,0,0.75866974,,0,,,0.05859375,
0.30134,,,,,0,-0.0546875,-0.9609375,,,12.33016523,0.060349055,0,0,0.744113819,,0,,,0.05859375,
0.349365,,,,,0,-0.0546875,-0.9609375,-0.000158512,-0.080495749,12.33030888,0.06081186,0,0,0.749829017,0,0,0,0,0.05859375,
0.37781,,,,,0,-0.0546875,-0.95703125,,,12.32998198,0.059280639,0,0,0.730929209,,0,,,0.05859375,
0.405515,,,,,0,-0.0546875,-0.9609375,,,12.32995592,0.058320662,0,0,0.719091194,,0,,,0.05859375,
0.43323,,,,,0,-0.052734375,-0.962890625,,,12.33009102,0.057896021,0,0,0.713863203,,0,,,0.05859375,
0.469775,,,,,0,-0.052734375,-0.9609375,-0.0001822,-0.080535471,12.3300729,0.059030159,0,0,0.727846162,0,0,0,0,0.05859375,
0.499475,,,,,0,-0.0546875,-0.958984375,,,12.33015324,0.05952037,0,0,0.733895283,,0,,,0.05859375,
0.529885,,,,,0,-0.052734375,-0.958984375,,,12.33042433,0.060161821,0,0,0.741820777,,0,,,0.05859375,
0.56194,,,,,0,-0.052734375,-0.9609375,,,12.33046867,0.060024778,0,0,0.74013365,,0,,,0.05859375,
0.59735,,,,,0,-0.052734375,-0.9609375,,-0.077509738,12.33044195,0.060875297,0,0,0.750619317,,0,,0,0.05859375,
0.643765,,,,,0,-0.052734375,-0.9609375,-0.000157969,,12.33006206,0.061996457,0,0,0.764420156,0,0,0,0,0.05859375,
0.698925,,,,,0,-0.052734375,-0.958984375,,,12.32992502,0.064750217,0,0,0.798365324,,0,,,0.05859375,
0.74386,,,,,0,-0.052734375,-0.958984375,,,12.32984895,0.064058491,0,0,0.789831519,,0,,,0.05859375,
0.775315,,,,,0,-0.052734375,-0.9609375,-0.000126474,-0.070023471,12.32956309,0.064391312,0,0,0.793916739,0,0,0,0,0.05859375,
0.81518,,,,,0,-0.052734375,-0.9609375,,,12.3299648,0.065431511,0,0,0.806768232,,0,,,0.05859375,
0.8496,,,,,0,-0.0546875,-0.958984375,,,12.33007716,0.065843419,0,0,0.811854439,,0,,,0.05859375,
0.884745,,,,,0,-0.052734375,-0.958984375,,,12.33029783,0.065786709,0,0,0.811169719,,0,,,0.05859375,
0.919835,,,,,0,-0.0546875,-0.962890625,-0.000111314,-0.072796639,12.33010851,0.06517292,0,0,0.803589181,0,0,0,0,0.05859375,
0.95784,,,,,0,-0.0546875,-0.9609375,,,12.33008585,0.065550059,0,0,0.80823786,,0,,,0.05859375,
1.01796,,,,,0,-0.052734375,-0.958984375,,,12.32997539,0.066801636,0,0,0.823662523,,0,,,0.05859375,
1.05486,,,,,0,-0.052734375,-0.958984375,-0.000115265,-0.068929415,12.33027077,0.065450459,0,0,0.807021877,0,0,0,0,0.05859375,
1.091725,,,,,0,-0.0546875,-0.9609375,,,12.33040811,0.065648238,0,0,0.809469569,,0,,,0.05859375,
1.12488,,,,,-0.015625,-0.03125,-0.966796875,,,12.33030303,0.063055511,0,0,0.77749356,,0,,,0.05859375,
1.156865,,,,,0,-0.046875,-0.955078125,,,12.33027711,0.062801381,0,0,0.774358433,,0,,,0.05859375,
1.188865,,,,,-0.025390625,-0.029296875,-0.962890625,,-0.074498947,12.33022805,0.063647009,0,0,0.784782135,,0,,0,0.060546875,
1.218185,,,,,-0.01953125,-0.02734375,-0.97265625,-0.000152442,,12.33024697,0.064053653,0,0,0.789797361,0,0,0,0,0.0625,
1.244955,,,,,-0.009765625,-0.013671875,-0.99609375,,,12.3299554,0.062383904,0,0,0.769190756,,0,,,0.0625,
1.307665,,,,,-0.01953125,-0.0390625,-0.98046875,,,12.33032719,0.062560756,0,0,0.771394591,,0,,,0.064453125,
1.334,,,,,-0.009765625,-0.037109375,-0.96484375,,-0.077513587,12.33041174,0.062670728,0,0,0.772755879,,0,,0,0.06640625,
1.373035,,,,,0,-0.04296875,-0.966796875,-0.000121497,,12.33055554,0.062501955,0,0,0.770683826,0,0,0,0,0.06640625,
1.40506,,,,,-0.0078125,-0.044921875,-0.9609375,,,12.33062862,0.061872252,0,0,0.762923755,,0,,,0.06640625,
1.43749,,,,,0,-0.0546875,-0.9609375,,,12.33063594,0.061568736,0,0,0.759181673,,0,,,0.06640625,
1.463535,,,,,0,-0.05078125,-0.958984375,,,12.33039005,0.060876341,0,0,0.750629031,,0,,,0.064453125,
1.492795,,,,,0,-0.0546875,-0.958984375,-2.44E-06,-0.078834272,12.33025795,0.062128054,0,0,0.766054934,0,0,0,0,0.064453125,
1.523085,,,,,0,-0.0546875,-0.95703125,,,12.33030526,0.061840588,0,0,0.762513324,,0,,,0.064453125,
1.555385,,,,,0,-0.05078125,-0.958984375,,,12.3305624,0.062070723,0,0,0.765366928,,0,,,0.064453125,
1.582155,,,,,-0.01953125,-0.025390625,-0.978515625,,,12.33063019,0.061659382,0,0,0.760299033,,0,,,0.064453125,
1.61429,,,,,0,-0.0390625,-0.98828125,,,12.33068111,0.059491516,0,0,0.733570918,,0,,,0.06640625,
1.64468,,,,,0,-0.0546875,-0.98046875,2.96E-06,-0.078701242,12.33027378,0.058911741,0,0,0.726397892,0,0,0,0,0.06640625,
1.680715,,,,,0,-0.03515625,-0.994140625,,,12.33025695,0.057354452,0,0,0.707195128,,0,,,0.06640625,
1.717995,,,,,0,-0.0546875,-0.96484375,,,12.3300978,0.056796335,0,0,0.700304362,,0,,,0.06640625,
1.7458,,,,,0,-0.0546875,-0.9609375,,,12.32997555,0.056875628,0,0,0.701275097,,0,,,0.06640625,
1.774625,,,,,0,-0.052734375,-0.9609375,,,12.33044323,0.056513249,0,0,0.696833405,,0,,,0.06640625,
1.804,,,,,0,-0.052734375,-0.958984375,9.70E-05,-0.067750443,12.33050329,0.057518089,0,0,0.709226984,0,0,0,0,0.06640625,
1.86031,,,,,0,-0.0546875,-0.9609375,,,12.33064291,0.058732453,0,0,0.724208907,,0,,,0.064453125,
1.90324,,,,,0,-0.0546875,-0.958984375,,,12.33048186,0.060145228,0,0,0.741619646,,0,,,0.064453125,
1.93723,,,,,0,-0.052734375,-0.9609375,,-0.060877149,12.3307731,0.060784008,0,0,0.749513812,,0,,0,0.064453125,
1.96312,,,,,0,-0.052734375,-0.958984375,-4.22E-05,,12.33080749,0.061312513,0,0,0.756032793,0,0,0,0,0.064453125,
1.993305,,,,,0,-0.0546875,-0.958984375,,,12.33094979,0.06038981,0,0,0.744663717,,0,,,0.064453125,
2.034165,,,,,0,-0.052734375,-0.958984375,,,12.33083366,0.061248545,0,0,0.755245616,,0,,,0.064453125,
2.067535,,,,,0,-0.052734375,-0.962890625,,,12.33056311,0.061453312,0,0,0.757753941,,0,,,0.0625,
2.09713,,,,,0,-0.0546875,-0.9609375,-7.05E-05,-0.041980832,12.33103168,0.062621575,0,0,0.772188628,0,0,0,0,0.0625,
2.136125,,,,,0,-0.052734375,-0.95703125,,,12.33102511,0.063509631,0,0,0.783138856,,0,,,0.0625,
2.16633,,,,,0,-0.052734375,-0.9609375,,,12.3309468,0.063262214,0,0,0.780082991,,0,,,0.0625,
2.196945,,,,,0,-0.0546875,-0.962890625,,,12.33106451,0.063430051,0,0,0.782160054,,0,,,0.0625,
2.2525,,,,,0,-0.052734375,-0.9609375,,,12.33074795,0.066352835,0,0,0.818180085,,0,,,0.0625,
2.305125,,,,,0,-0.052734375,-0.958984375,-8.27E-05,-0.033555917,12.33110107,0.06849135,0,0,0.844573763,0,0,0,0,0.0625,
2.33272,,,,,0,-0.0546875,-0.9609375,,,12.33098862,0.069567503,0,0,0.857836083,,0,,,0.060546875,
2.36039,,,,,0,-0.052734375,-0.962890625,,,12.33113857,0.070979998,0,0,0.875264187,,0,,,0.060546875,
2.39419,,,,,0,-0.0546875,-0.9609375,,-0.051685375,12.331093,0.072408548,0,0,0.89287654,,0,,0,0.060546875,
2.423535,,,,,0,-0.052734375,-0.958984375,-7.41E-05,,12.3308836,0.072485617,0,0,0.89381171,0,0,0,0,0.060546875,
2.459395,,,,,0,-0.0546875,-0.958984375,,,12.33054557,0.074992583,0,0,0.924699463,,0,,,0.060546875,
2.486865,,,,,0,-0.052734375,-0.958984375,,,12.33041404,0.076264525,0,0,0.94037317,,0,,,0.060546875,
2.51644,,,,,0,-0.052734375,-0.9609375,,,12.33047545,0.077644564,0,0,0.957394395,,0,,,0.060546875,
2.546965,,,,,0,-0.0546875,-0.9609375,-0.000120542,-0.070293564,12.33062228,0.079202283,0,0,0.976613441,0,0,0,0,0.060546875,
2.574525,,,,,0,-0.052734375,-0.9609375,,,12.33031067,0.079419651,0,0,0.979268973,,0,,,0.060546875,
2.605225,,,,,0,-0.052734375,-0.9609375,,,12.33039557,0.079533659,0,0,0.980681478,,0,,,0.060546875,
2.63313,,,,,0,-0.052734375,-0.9609375,,,12.33043949,0.080092801,0,0,0.98757944,,0,,,0.060546875,
2.668015,,,,,0,-0.0546875,-0.9609375,,,12.33028276,0.081003211,0,0,0.998792493,,0,,,0.060546875,
2.704295,,,,,0,-0.052734375,-0.9609375,-0.000163628,-0.078018855,12.33038606,0.081030024,0,0,0.999131473,0,0,0,0,0.060546875,
2.741415,,,,,0,-0.052734375,-0.958984375,,,12.33083801,0.082448491,0,0,1.016658984,,0,,,0.060546875,
2.772455,,,,,0,-0.052734375,-0.958984375,,,12.33063855,0.082176244,0,0,1.013285562,,0,,,0.060546875,
2.79807,,,,,0,-0.052734375,-0.9609375,,,12.33044355,0.082909567,0,0,1.022311736,,0,,,0.05859375,
2.840055,,,,,0,-0.0546875,-0.9609375,,-0.072904666,12.33059064,0.08065939,0,0,0.994577915,,0,,0,0.05859375,
2.871635,,,,,0,-0.0546875,-0.9609375,-0.000151765,,12.33052618,0.079364961,0,0,0.978611725,0,0,0,0,0.05859375,
2.90135,,,,,0,-0.0546875,-0.9609375,,,12.3303808,0.079982805,0,0,0.986218447,,0,,,0.05859375,
2.933675,,,,,0,-0.0546875,-0.958984375,,,12.33041081,0.079482357,0,0,0.980050112,,0,,,0.05859375,
2.972665,,,,,0,-0.0546875,-0.9609375,,,12.33035556,0.078701203,0,0,0.970413813,,0,,,0.05859375,
3.00731,,,,,0,-0.052734375,-0.9609375,-0.000173294,-0.070298903,12.3302359,0.078593605,0,0,0.96907769,0,0,0,0,0.05859375,
3.043115,,,,,0,-0.0546875,-0.9609375,,,12.32990033,0.078185071,0,0,0.964014134,,0,,,0.05859375,
3.076145,,,,,0,-0.052734375,-0.9609375,,,12.33024333,0.077514691,0,0,0.955775001,,0,,,0.05859375,
3.105565,,,,,0,-0.0546875,-0.958984375,,,12.33033213,0.077364404,0,0,0.953928793,,0,,,0.05859375,
3.137165,,,,,0,-0.052734375,-0.9609375,,-0.070421906,12.32998792,0.076107077,0,0,0.938399339,,0,,0,0.05859375,
3.16788,,,,,0,-0.052734375,-0.958984375,-0.000192302,,12.32993569,0.076170987,0,0,0.939183372,0,0,0,0,0.05859375,
3.20308,,,,,0,-0.0546875,-0.958984375,,,12.33008967,0.074871325,0,0,0.923170154,,0,,,0.05859375,
3.231855,,,,,0,-0.052734375,-0.958984375,,,12.32999933,0.073925675,0,0,0.911503529,,0,,,0.05859375,
3.271385,,,,,0,-0.052734375,-0.9609375,,,12.33011838,0.072330658,0,0,0.891845572,,0,,,0.05859375,
3.306765,,,,,0,-0.052734375,-0.962890625,-0.000203181,-0.070486541,12.33038724,0.069723083,0,0,0.859712619,0,0,0,0,0.05859375,
3.33925,,,,,0,-0.052734375,-0.958984375,,,12.33046929,0.067902172,0,0,0.837265648,,0,,,0.05859375,
3.371625,,,,,0,-0.0546875,-0.958984375,,,12.33034285,0.066783214,0,0,0.823459923,,0,,,0.05859375,
3.40956,,,,,0,-0.0546875,-0.9609375,,,12.33036817,0.064589725,0,0,0.796415087,,0,,,0.05859375,
3.44911,,,,,0,-0.0546875,-0.9609375,,-0.069573489,12.33022433,0.063883968,0,0,0.78770366,,0,,0,0.05859375,
3.486215,,,,,0,-0.0546875,-0.958984375,-0.000200648,,12.33031612,0.063328811,0,0,0.780864255,0,0,0,0,0.05859375,
3.51515,,,,,0,-0.0546875,-0.9609375,,,12.3303559,0.062163916,0,0,0.766503208,,0,,,0.05859375,
3.547,,,,,0,-0.052734375,-0.9609375,,,12.33016079,0.060238824,0,0,0.742754385,,0,,,0.05859375,
3.57361,,,,,0,-0.0546875,-0.958984375,,-0.069210032,12.32993933,0.060259003,0,0,0.742989855,,0,,0,0.05859375,
3.612645,,,,,0,-0.0546875,-0.958984375,-0.000194815,,12.33021187,0.057999974,0,0,0.715151965,0,0,0,0,0.05859375,
3.64419,,,,,0,-0.052734375,-0.9609375,,,12.33043667,0.058222779,0,0,0.71791229,,0,,,0.05859375,
